اللعبة,الحد الأدنى - معالج,الحد الأدنى - ذاكرة,الحد الأدنى - كرت شاشة,الحد الأدنى - مساحة,الحد الأدنى - نظام,الموصى به - معالج,الموصى به - ذاكرة,الموصى به - كرت شاشة,الموصى به - مساحة,الموصى به - نظام,المصدر
Command & Conquer: Remastered Collection,Intel Core 2 Duo / AMD Athlon X2,4 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 4850,20 GB,Windows 8.1/10 64-bit,Intel Core i5 / AMD Ryzen 5,8 GB,NVIDIA GeForce GTX 660 / AMD Radeon HD 7870,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Command & Conquer 3: Tiberium Wars,2.0 GHz or faster processor,512 MB,64 MB video card with DirectX 9.0c support,6 GB,Windows XP/Vista,2.4 GHz or faster processor,1 GB,128 MB video card with DirectX 9.0c support,6 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Command & Conquer: Red Alert 3,2.0 GHz Intel Pentium 4 / AMD Athlon 2000+,1 GB,NVIDIA GeForce 6800 / ATI Radeon X1800,10 GB,Windows XP/Vista,2.6 GHz Intel Pentium 4 / AMD Athlon 3000+,2 GB,NVIDIA GeForce 7800 / ATI Radeon X1900,10 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Command & Conquer: Generals,1.8 GHz or faster processor,256 MB,32 MB video card with DirectX 8.1 support,1.8 GB,Windows 98/ME/2000/XP,2.4 GHz or faster processor,512 MB,64 MB video card with DirectX 8.1 support,1.8 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Rise of Nations: Extended Edition,PC with 1.6GHz equivalent or higher processor,1 GB,64 MB video card with Hardware T&L support,3 GB,"Windows Vista, 7, 8.1+",PC with 2.0GHz equivalent or higher processor,2 GB,128 MB video card with Hardware T&L support,3 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Rise of Legends,1.4 GHz processor,256 MB,64 MB video card with Hardware T&L support,5.5 GB,Windows 2000/XP,2.0 GHz processor,512 MB,128 MB video card with Hardware T&L support,5.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empire Earth,Pentium II 350 MHz,64 MB,4 MB,450 MB,Windows 95/98/ME/2000,Pentium III 500 MHz,128 MB,8 MB,450 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empire Earth II,1.5 GHz Intel Pentium 4 / AMD Athlon,256 MB,64 MB video card with DirectX 9.0c support,1.5 GB,Windows 2000/XP,2.2 GHz Intel Pentium 4 / AMD Athlon,512 MB,128 MB video card with DirectX 9.0c support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Empire Earth III,1.7 GHz Intel Pentium 4 / AMD Athlon,512 MB,64 MB video card with DirectX 9.0c support,6.5 GB,Windows XP/Vista,2.4 GHz Intel Pentium 4 / AMD Athlon,1 GB,128 MB video card with DirectX 9.0c support,6.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Supreme Commander,1.8 GHz processor,512 MB,128 MB video card with pixel shader 2.0 support,8 GB,Windows XP/Vista,3.0 GHz dual-core processor,1 GB,256 MB video card with pixel shader 3.0 support,8 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Supreme Commander: Forged Alliance,1.8 GHz processor,512 MB,128 MB video card with pixel shader 2.0 support,8 GB,Windows XP/Vista,3.0 GHz dual-core processor,1 GB,256 MB video card with pixel shader 3.0 support,8 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Ashes of the Singularity: Escalation,Quad-core Intel / AMD processor,6 GB,NVIDIA GTX 660 / Radeon R7 370,27 GB,Windows 10 64-bit,Intel Core i5 / AMD Ryzen 5,16 GB,NVIDIA GTX 970 / AMD R9 390,27 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Sins of a Solar Empire: Rebellion,3 GHz Intel Pentium 4 / AMD Athlon 64 processor,2 GB,256 MB video card with DirectX 9.0c support,5 GB,Windows 7/8/10,Intel Core i5 / AMD Ryzen 5,4 GB,512 MB video card with DirectX 9.0c support,5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Galactic Civilizations III,1.8 GHz Intel Core 2 Duo / AMD Athlon X2,4 GB,512 MB video card with DirectX 10.1 support,12 GB,Windows 7/8/10 64-bit,2.3 GHz Intel Core i5 / AMD Ryzen 5,6 GB,1 GB video card with DirectX 10.1 support,12 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Endless Space 2,i3 4th generation / i5 2nd generation / A6 series,4 GB,AMD Radeon 5800 series / NVidia 550 Ti,8 GB,Windows 7/8/8.1/10 64-bit,i3 5th generation / i5 3rd generation / FX 4170,8 GB,AMD Radeon 8000 series / NVidia GTX 660,8 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Endless Legend,Windows Vista / 7 / 8 / 8.1 / 10,4 GB,512 MB VRAM,4 GB,Windows Vista / 7 / 8 / 8.1 / 10,Windows Vista / 7 / 8 / 8.1 / 10,8 GB,1024 MB VRAM,4 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Dawn of War III,3GHz i3 quad logical core / AMD Phenom II X4,4 GB,NVIDIA GeForce 460 / AMD Radeon 6950 / Intel Haswell (Intel HD 4600 Integrated Graphics),50 GB,Windows 7 64-bit,Intel Core i5-2400 / AMD Ryzen 5 1400,8 GB,NVIDIA GeForce 770 / AMD Radeon HD 7970,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Dawn of War II,Core 2 Duo 2.0 GHz / Athlon X2 4400+,1 GB,NVIDIA GeForce 7800 GT / ATI Radeon X1900,6.5 GB,Windows XP SP2 or Windows Vista,Core 2 Duo 3.0 GHz / Athlon X2 6000+,2 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 3850,6.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Dawn of War: Soulstorm,P4 3.2 GHz (single core) or any Dual Core processor,1 GB,A 128MB Video Card (GeForce 6600 or better),3.5 GB,Windows XP SP2 or Windows Vista,Intel Core 2 Duo / AMD Athlon X2,2 GB,A 256MB Video Card (GeForce 7800 or better),3.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
"Warhammer 40,000: Gladius - Relics of War",Intel Core i3 or equivalent,4 GB,OpenGL 3.3 compatible with 1 GB VRAM,4 GB,Windows 7/8/10 64-bit,Intel Core i5 or equivalent,8 GB,OpenGL 3.3 compatible with 2 GB VRAM,4 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
"Warhammer 40,000: Battlesector",Intel Core i3-2100 / AMD FX-6300,8 GB,NVIDIA GeForce GTX 750 Ti / AMD Radeon R7 260X,10 GB,Windows 10 64-bit,Intel Core i5-8400 / AMD Ryzen 5 2600,16 GB,NVIDIA GeForce GTX 1060 / AMD Radeon RX 580,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
"Warhammer 40,000: Sanctus Reach",Intel Core i3 or equivalent,4 GB,OpenGL 3.3 compatible with 1 GB VRAM,2 GB,Windows 7/8/10 64-bit,Intel Core i5 or equivalent,8 GB,OpenGL 3.3 compatible with 2 GB VRAM,2 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
"Warhammer 40,000: Armageddon",Intel Pentium 4 or equivalent,2 GB,OpenGL 2.0 compatible with 512 MB VRAM,2 GB,Windows Vista/7/8/10,Intel Core 2 Duo or equivalent,4 GB,OpenGL 2.0 compatible with 1 GB VRAM,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
"Warhammer 40,000: Space Marine",2.0Ghz Dual core CPU (any Core 2 Duo or AMD X2 or better),2 GB,NVIDIA GeForce 8800GT / AMD Radeon HD 3850,20 GB,"Windows XP SP3, Windows Vista SP1, Windows 7",Any Quad-core CPU,2 GB,NVIDIA GeForce GTX 260 / AMD Radeon HD 4870,20 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Warhammer: Vermintide 2,Intel Core i5-2300 @ 2.80GHz / AMD FX-4350 @ 4.2GHz,6 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 5870,65 GB,Windows 10 64-bit,Intel Core i7-3770 @ 3.5GHz / AMD FX-8350 @ 4.0GHz,8 GB,NVIDIA GeForce GTX 970 / ATI Radeon R9 series,65 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Warhammer: End Times - Vermintide,Intel Core 2 Quad Q9500 @ 2.83GHz / AMD Athlon II X4 640 @ 3.00GHz,6 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 5870,50 GB,Windows 7 64-bit,Intel Core i5-2300 @ 2.80GHz / AMD FX-4350 @ 4.2GHz,8 GB,NVIDIA GeForce GTX 970 / ATI Radeon R9 series,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Blood Bowl 2,AMD/INTEL DUAL-CORE 2.5 GHZ,3072 MB RAM,768 MB 100% DIRECTX 10 AND SHADERS 4.0 COMPATIBLE ATI RADEON HD 5670/NVIDIA GEFORCE GTX 260,8 GB,WINDOWS VISTA/WINDOWS 7/WINDOWS 8,AMD/INTEL QUAD-CORE 3 GHZ,4096 MB RAM,1024 MB 100% DIRECTX 10 AND SHADERS 4.0 COMPATIBLE ATI RADEON HD 7850/NVIDIA GEFORCE GTX 560,8 GB SSD,WINDOWS 10,"technical.city, Steam Store, official game websites"
Blood Bowl 3,AMD FX-4350 / Intel Core i5-2500K,4 GB,AMD Radeon HD 7850 / Nvidia GeForce GTX 660,12 GB,Windows 10 64-bit,AMD FX-8350 / Intel Core i7-4790,8 GB,AMD Radeon R9 280X / Nvidia GeForce GTX 960,12 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Mordheim: City of the Damned,AMD/INTEL Dual-Core 2.4 GHz,4096 MB RAM,1024 MB DirectX 9.0c Compatible Cards,15 GB,Windows Vista/7/8/10,Intel Core i5-2300 / AMD Phenom II X4 940,8192 MB RAM,2048 MB DirectX 9.0c Compatible Cards,15 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Battlefleet Gothic: Armada,AMD FX-4100 / Intel Core i5-2500,4096 MB RAM,"1 GB, DirectX 11, AMD Radeon HD 6850 / NVIDIA GeForce GT 440",10 GB,WINDOWS 7/8/10,AMD FX-8350 / Intel Core i5-3570,8192 MB RAM,"2 GB, DirectX 11, AMD Radeon R9 380 / NVIDIA GeForce GTX 660",10 GB SSD,WINDOWS 10,"technical.city, Steam Store, official game websites"
Battlefleet Gothic: Armada 2,AMD FX-4100 / Intel Core i5-2500,4096 MB RAM,"1 GB, DirectX 11, AMD Radeon HD 6850 / NVIDIA GeForce GT 440",10 GB,WINDOWS 7/8/10,AMD FX-8350 / Intel Core i5-3570,8192 MB RAM,"2 GB, DirectX 11, AMD Radeon R9 380 / NVIDIA GeForce GTX 660",10 GB SSD,WINDOWS 10,"technical.city, Steam Store, official game websites"
Space Hulk: Deathwing,Intel Core i5-2400/AMD FX-8320,8 GB,"2 GB, DirectX 11, AMD Radeon HD 7870 / NVIDIA GeForce GTX 660",40 GB,Windows 7/8/10 64-bit,Intel Core i7-3770/AMD FX-8350,8 GB,NVIDIA GeForce GTX 970 / AMD Radeon R9 290,40 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Space Hulk: Tactics,Intel Core i3-2100 / AMD FX-4350,4 GB,"2 GB, DirectX 11, AMD Radeon HD 6850 / NVIDIA GeForce GTX 650",10 GB,Windows 7/8/10 64-bit,Intel Core i5-3570 / AMD FX-6350,8 GB,"2 GB, DirectX 11, AMD Radeon HD 7870 / NVIDIA GeForce GTX 660",10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Inquisitor - Martyr,Intel Core i3-2120 @ 3.3GHz / AMD Phenom II X4 965 @ 3.4GHz,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,30 GB,Windows 7 64-bit,Intel Core i7-4770K @ 3.5GHz / AMD Ryzen 5 1500X @ 3.5GHz,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon R9 280,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Inquisitor - Prophecy,Intel Core i3-2120 @ 3.3GHz / AMD Phenom II X4 965 @ 3.4GHz,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,30 GB,Windows 7 64-bit,Intel Core i7-4770K @ 3.5GHz / AMD Ryzen 5 1500X @ 3.5GHz,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon R9 280,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Chaos Gate - Daemonhunters,Intel Core i3-2100 / AMD FX-4350,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,18 GB,Windows 7/8/10 64-bit,Intel Core i5-3570 / AMD FX-6350,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon R9 280,18 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Gladius - Relics of War,Intel Core i3 or equivalent,4 GB,OpenGL 3.3 compatible with 1 GB VRAM,4 GB,Windows 7/8/10 64-bit,Intel Core i5 or equivalent,8 GB,OpenGL 3.3 compatible with 2 GB VRAM,4 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Sanctus Reach,Intel Core i3 or equivalent,4 GB,OpenGL 3.3 compatible with 1 GB VRAM,2 GB,Windows 7/8/10 64-bit,Intel Core i5 or equivalent,8 GB,OpenGL 3.3 compatible with 2 GB VRAM,2 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Armageddon,Intel Pentium 4 or equivalent,2 GB,OpenGL 2.0 compatible with 512 MB VRAM,2 GB,Windows Vista/7/8/10,Intel Core 2 Duo or equivalent,4 GB,OpenGL 2.0 compatible with 1 GB VRAM,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Regicide,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.8 GHz,2 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 4850,4 GB,Windows 7/8/10,Intel Core i5 / AMD FX-6300,4 GB,NVIDIA GeForce GTX 560 / AMD Radeon HD 6870,4 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Deathwatch,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.8 GHz,2 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 4850,4 GB,Windows 7/8/10,Intel Core i5 / AMD FX-6300,4 GB,NVIDIA GeForce GTX 560 / AMD Radeon HD 6870,4 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Storm of Vengeance,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.8 GHz,2 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 4850,4 GB,Windows 7/8/10,Intel Core i5 / AMD FX-6300,4 GB,NVIDIA GeForce GTX 560 / AMD Radeon HD 6870,4 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Kill Team,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.8 GHz,2 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 4850,4 GB,Windows 7/8/10,Intel Core i5 / AMD FX-6300,4 GB,NVIDIA GeForce GTX 560 / AMD Radeon HD 6870,4 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Fire Warrior,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 9.0c support,2 GB,Windows 98/ME/2000/XP,Intel Pentium 4 3.0 GHz / AMD Athlon XP 3000+,1 GB,128 MB video card with DirectX 9.0c support,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Rites of War,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,500 MB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Final Liberation,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,128 MB,16 MB video card with DirectX 7.0 support,300 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 7.0 support,300 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Shadow of the Horned Rat,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,128 MB,16 MB video card with DirectX 7.0 support,300 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 7.0 support,300 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Dark Omen,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,128 MB,16 MB video card with DirectX 7.0 support,300 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 7.0 support,300 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Space Crusade,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,128 MB,16 MB video card with DirectX 7.0 support,300 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 7.0 support,300 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Epic,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,128 MB,16 MB video card with DirectX 7.0 support,300 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 7.0 support,300 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Gorkamorka,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,128 MB,16 MB video card with DirectX 7.0 support,300 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 7.0 support,300 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Warhammer Online,Intel Pentium 4 2.5 GHz / AMD Athlon XP 2500+,1 GB,128 MB video card with DirectX 9.0c support,15 GB,Windows XP/Vista,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,2 GB,256 MB video card with DirectX 9.0c support,15 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Mark of Chaos,Intel Pentium 4 2.4 GHz / AMD Athlon XP 2400+,1 GB,128 MB video card with DirectX 9.0c support,6 GB,Windows XP/Vista,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,2 GB,256 MB video card with DirectX 9.0c support,6 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Battle March,Intel Pentium 4 2.4 GHz / AMD Athlon XP 2400+,1 GB,128 MB video card with DirectX 9.0c support,6 GB,Windows XP/Vista,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,2 GB,256 MB video card with DirectX 9.0c support,6 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Dark Millennium Online,Intel Pentium 4 2.5 GHz / AMD Athlon XP 2500+,1 GB,128 MB video card with DirectX 9.0c support,15 GB,Windows XP/Vista,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,2 GB,256 MB video card with DirectX 9.0c support,15 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Wrath & Glory,Intel Core i3-2100 / AMD FX-4350,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,10 GB,Windows 7/8/10 64-bit,Intel Core i5-3570 / AMD FX-6350,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon R9 280,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Only War,Intel Core i3-2100 / AMD FX-4350,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,10 GB,Windows 7/8/10 64-bit,Intel Core i5-3570 / AMD FX-6350,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon R9 280,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Rogue Trader,Intel Core i3-2100 / AMD FX-4350,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,10 GB,Windows 7/8/10 64-bit,Intel Core i5-3570 / AMD FX-6350,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon R9 280,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Deathwatch RPG,Intel Core i3-2100 / AMD FX-4350,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,10 GB,Windows 7/8/10 64-bit,Intel Core i5-3570 / AMD FX-6350,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon R9 280,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Black Crusade,Intel Core i3-2100 / AMD FX-4350,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,10 GB,Windows 7/8/10 64-bit,Intel Core i5-3570 / AMD FX-6350,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon R9 280,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Dark Heresy,Intel Core i3-2100 / AMD FX-4350,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,10 GB,Windows 7/8/10 64-bit,Intel Core i5-3570 / AMD FX-6350,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon R9 280,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Deathwatch,Intel Core i3-2100 / AMD FX-4350,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,10 GB,Windows 7/8/10 64-bit,Intel Core i5-3570 / AMD FX-6350,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon R9 280,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
The Witcher,Intel Pentium 4 2.4 GHz / AMD Athlon 64 2800+,1 GB,NVIDIA GeForce 6600 / ATI Radeon 9800,8.5 GB,Windows XP/Vista,Intel Core 2 Duo 2.13 GHz / AMD Athlon 64 X2 5000+,2 GB,NVIDIA GeForce 7900 GTX / ATI Radeon X1950 PRO,8.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
The Witcher 2: Assassins of Kings,Core 2 Duo 2.2 GHz / AMD Athlon 64 X2 5000+,1.5 GB,NVIDIA GeForce 8800 / ATI Radeon HD 3850,16 GB,Windows XP/Vista/7,Core 2 Quad / AMD Phenom II X4,3 GB,NVIDIA GeForce GTX 260 / ATI Radeon HD 4850,16 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
The Witcher 3: Wild Hunt,Intel CPU Core i5-2500K 3.3GHz / AMD CPU Phenom II X4 940,6 GB,Nvidia GPU GeForce GTX 660 / AMD GPU Radeon HD 7870,35 GB,Windows 7/8/8.1/10 64-bit,Intel CPU Core i7 3770 3.4 GHz / AMD CPU AMD FX-8350 4 GHz,8 GB,Nvidia GPU GeForce GTX 770 / AMD GPU Radeon R9 290,35 GB SSD,Windows 7/8/8.1/10 64-bit,"technical.city, Steam Store, official game websites"
Cyberpunk 2077,Core i5-3570K / FX-8310,8 GB,GTX 970 / Radeon RX 470,70 GB,Windows 10 64-bit,Core i7-4790 / Ryzen 3 3200G,12 GB,GTX 1060 6GB / Radeon RX 570,70 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Baldur's Gate 3,Intel I5 4690 / AMD FX 4350,8 GB,Nvidia GTX 970 / AMD RX 480,150 GB,Windows 10 64-bit,Intel i7 8700K / AMD r5 3600,16 GB,Nvidia 2060 Super / AMD RX 5700,150 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Divinity: Original Sin 2,Intel Core i5 or equivalent,4 GB,NVIDIA GeForce GTX 550 / ATI Radeon HD 6XXX or better,25 GB,Windows 7 SP1 64-bit,Intel Core i7 or equivalent,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon R9 280,25 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Divinity: Original Sin,Intel Core 2 Duo @ 1.8 GHz / AMD Athlon 64 X2 @ 1.8 GHz,4 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 4850,10 GB,Windows XP SP3 or higher,Intel Core 2 Duo @ 2.6 GHz / AMD Athlon 64 X2 @ 2.6 GHz,6 GB,NVIDIA GeForce GTX 550 Ti / ATI Radeon HD 6XXX or higher,10 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Pillars of Eternity,Intel Core i3-2100T @ 2.50 GHz / AMD Phenom II X3 B73,4 GB,ATI Radeon HD 4850 / NVIDIA GeForce 9600 GT,14 GB,Windows Vista 64-bit or newer,Intel Core i5-2400 @ 3.10 GHz / AMD Phenom II X6 1100T,8 GB,Radeon HD 7700 / NVIDIA GeForce GTX 570,14 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Pillars of Eternity II: Deadfire,Intel Core i3-2100T @ 2.50 GHz / AMD Phenom II X3 B73,4 GB,ATI Radeon HD 4850 / NVIDIA GeForce 9600 GT,45 GB,Windows Vista 64-bit or newer,Intel Core i5-2400 @ 3.10 GHz / AMD Phenom II X6 1100T,8 GB,Radeon HD 7700 / NVIDIA GeForce GTX 570,45 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Pathfinder: Kingmaker,Intel Celeron 1037U @ 1.80GHz,4 GB,Intel HD Graphics 3000,30 GB,Windows 7 64-bit,Intel Core i7 CPU 920 @ 2.67GHz,8 GB,ATI Radeon HD 5770 / NVIDIA GeForce GTX 960M,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Pathfinder: Wrath of the Righteous,Intel Core i3-2310M CPU @ 2.10GHz,6 GB,Intel HD Graphics 3000,50 GB,Windows 7 64-bit,Intel Core i7 CPU 920 @ 2.67GHz,8 GB,ATI Radeon HD 5770 / NVIDIA GeForce GTX 960M,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Tyranny,Intel Core 2 Quad Q9505 @ 2.80 GHz / AMD Athlon II X4 840 @ 3.10 GHz,6 GB,ATi Radeon HD 5770 / NVIDIA GeForce GTS 450,15 GB,Windows 7 64-bit,Intel Core i5-2400 @ 3.10 GHz / AMD FX-4350 @ 4.2 GHz,8 GB,Radeon HD 7700 / NVIDIA GeForce GTX 570,15 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
